Time,Campeonato,Posição,Pontos,Partidas,Vitórias,Empates,Derrotas,GolsFeitos,GolsSofridos,SaldoGols,Aproveitamento,Qualificação,Título
Palmeiras,Brasileirão 2018,1,80,38,23,11,4,64,26,38,70.2,Libertadores,Campeão
Flamengo,Brasileirão 2018,2,72,38,21,9,8,59,29,30,63.2,Libertadores,Vice-Campeão
Internacional,Brasileirão 2018,3,69,38,19,12,7,51,29,22,60.5,Libertadores,
Grêmio,Brasileirão 2018,4,66,38,18,12,8,48,27,21,57.9,Libertadores,
São Paulo,Brasileirão 2018,5,63,38,16,15,7,46,34,12,55.3,Libertadores,
Atlético Mineiro,Brasileirão 2018,6,59,38,17,8,13,56,43,13,51.8,Libertadores,
Atlético Paranaense,Brasileirão 2018,7,57,38,16,9,13,54,37,17,50,Sulamericana,
Cruzeiro,Brasileirão 2018,8,53,38,14,11,13,34,34,0,46.5,Libertadores,
Botafogo,Brasileirão 2018,9,51,38,13,12,13,38,46,-8,44.7,Sulamericana,
Santos,Brasileirão 2018,10,50,38,13,11,14,46,40,6,43.9,Sulamericana,
Bahia,Brasileirão 2018,11,48,38,12,12,14,39,41,-2,42.1,Sulamericana,
Fluminense,Brasileirão 2018,12,45,38,12,9,17,32,46,-14,39.5,Sulamericana,
Corinthians,Brasileirão 2018,13,44,38,11,11,16,34,35,-1,38.6,Sulamericana,
Chapecoense,Brasileirão 2018,14,44,38,11,11,16,34,50,-16,38.6,,
Ceará,Brasileirão 2018,15,44,38,10,14,14,32,38,-6,38.6,,
Vasco,Brasileirão 2018,16,43,38,10,13,15,41,48,-7,37.7,,
Sport,Brasileirão 2018,17,42,38,11,9,18,35,57,-22,36.8,Rebaixamento,
América Mineiro,Brasileirão 2018,18,40,38,10,10,18,30,47,-17,35.1,Rebaixamento,
Vitória,Brasileirão 2018,19,37,38,9,10,19,36,63,-27,32.5,Rebaixamento,
Paraná,Brasileirão 2018,20,23,38,4,11,23,18,57,-39,20.2,Rebaixamento,
