Time da Casa,Time Visitante,Tipo,Campeonato,Gols do Time da Casa,Gols do Time Visitante,Rodada,Ano,Mês,Dia,Hora,Resultado
Ceará,Vasco,Partida,Brasileirão 2018,0,0,38,2018,12,2,17:00,Empate
Bahia,Cruzeiro,Partida,Brasileirão 2018,0,0,38,2018,12,2,17:00,Empate
Paraná,Internacional,Partida,Brasileirão 2018,1,1,38,2018,12,2,17:00,Empate
Chapecoense,São Paulo,Partida,Brasileirão 2018,1,0,38,2018,12,2,17:00,Vitória
Grêmio,Corinthians,Partida,Brasileirão 2018,1,0,38,2018,12,2,17:00,Vitória
Sport,Santos,Partida,Brasileirão 2018,2,0,38,2018,12,2,17:00,Vitória
Fluminense,América Mineiro,Partida,Brasileirão 2018,1,0,38,2018,12,2,17:00,Vitória
Palmeiras,Vitória,Partida,Brasileirão 2018,3,2,38,2018,12,2,17:00,Vitória
Flamengo,Atlético Paranaense,Partida,Brasileirão 2018,1,2,38,2018,12,1,19:00,Derrota
Atlético Mineiro,Botafogo,Partida,Brasileirão 2018,1,0,38,2018,12,1,19:00,Vitória
Botafogo,Paraná,Partida,Brasileirão 2018,2,1,37,2018,11,26,20:00,Vitória
São Paulo,Sport,Partida,Brasileirão 2018,0,0,37,2018,11,26,20:00,Empate
América Mineiro,Bahia,Partida,Brasileirão 2018,1,0,37,2018,11,25,19:00,Vitória
Corinthians,Chapecoense,Partida,Brasileirão 2018,0,0,37,2018,11,25,19:00,Empate
Internacional,Fluminense,Partida,Brasileirão 2018,2,0,37,2018,11,25,19:00,Vitória
Atlético Paranaense,Ceará,Partida,Brasileirão 2018,2,2,37,2018,11,25,17:00,Empate
Cruzeiro,Flamengo,Partida,Brasileirão 2018,0,2,37,2018,11,25,17:00,Derrota
Vasco,Palmeiras,Partida,Brasileirão 2018,0,1,37,2018,11,25,17:00,Derrota
Vitória,Grêmio,Partida,Brasileirão 2018,0,0,37,2018,11,25,17:00,Empate
Santos,Atlético Mineiro,Partida,Brasileirão 2018,3,2,37,2018,11,24,20:00,Vitória
Bahia,Fluminense,Partida,Brasileirão 2018,2,0,36,2018,11,22,21:00,Vitória
Ceará,Paraná,Partida,Brasileirão 2018,1,0,36,2018,11,22,21:00,Vitória
Chapecoense,Sport,Partida,Brasileirão 2018,2,1,36,2018,11,22,21:00,Vitória
Vasco,São Paulo,Partida,Brasileirão 2018,2,0,36,2018,11,22,20:00,Vitória
Atlético Paranaense,Corinthians,Partida,Brasileirão 2018,1,0,36,2018,11,21,21:45,Vitória
Cruzeiro,Vitória,Partida,Brasileirão 2018,3,0,36,2018,11,21,21:45,Vitória
